date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:07:21	10056/10056	---MCZ	200	added ('OK')	application/javascript	etag:W/%2258d214c4-2748%22	https://cybersoft.edu.vn/wp-includes/js/jquery/jquery-migrate.min.js	C:/Users/aduyn/Desktop/vns/cybersoft.edu.vn/wp-includes/js/jquery/jquery-migrate.min.js	(from https://cybersoft.edu.vn/)
15:07:21	110564/110564	---MCZ	200	added ('OK')	application/javascript	etag:W/%225b2103c6-1afe4%22	https://cybersoft.edu.vn/wp-content/plugins/revslider/public/assets/js/jquery.themepunch.tools.min.js	C:/Users/aduyn/Desktop/vns/cybersoft.edu.vn/wp-content/plugins/revslider/public/assets/js/jquery.themepunch.tools.min.js	(from https://cybersoft.edu.vn/)
15:07:21	64949/64949	---MCZ	200	added ('OK')	application/javascript	etag:W/%225b28b7ae-fdb5%22	https://cybersoft.edu.vn/wp-content/plugins/revslider/public/assets/js/jquery.themepunch.revolution.min.js	C:/Users/aduyn/Desktop/vns/cybersoft.edu.vn/wp-content/plugins/revslider/public/assets/js/jquery.themepunch.revolution.min.js	(from https://cybersoft.edu.vn/)
15:07:21	367/367	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2011%20Oct%202018%2009:16:39%20GMT	https://cybersoft.edu.vn/wp-content/plugins/simple-facebook-twitter-widget/js/simple-facebook-page-root.js	C:/Users/aduyn/Desktop/vns/cybersoft.edu.vn/wp-content/plugins/simple-facebook-twitter-widget/js/simple-facebook-page-root.js	(from https://cybersoft.edu.vn/)
15:07:21	7410/7410	---MCZ	200	added ('OK')	application/javascript	etag:W/%225c375e4a-1cf2%22	https://cybersoft.edu.vn/wp-content/plugins/sticky-menu-or-anything-on-scroll/assets/js/jq-sticky-anything.min.js	C:/Users/aduyn/Desktop/vns/cybersoft.edu.vn/wp-content/plugins/sticky-menu-or-anything-on-scroll/assets/js/jq-sticky-anything.min.js	(from https://cybersoft.edu.vn/)
15:07:22	5148/5148	---MCZ	200	added ('OK')	application/javascript	etag:W/%225b4d76d0-141c%22	https://cybersoft.edu.vn/wp-content/plugins/wp-floating-menu-pro/js/frontend.js	C:/Users/aduyn/Desktop/vns/cybersoft.edu.vn/wp-content/plugins/wp-floating-menu-pro/js/frontend.js	(from https://cybersoft.edu.vn/)
15:07:22	1317/1317	---MCZ	200	added ('OK')	application/javascript	etag:W/%2265545477-525%22	https://cybersoft.edu.vn/wp-content/plugins/pixelyoursite/dist/scripts/jquery.bind-first-0.2.3.min.js	C:/Users/aduyn/Desktop/vns/cybersoft.edu.vn/wp-content/plugins/pixelyoursite/dist/scripts/jquery.bind-first-0.2.3.min.js	(from https://cybersoft.edu.vn/)
15:07:22	1709/1709	---MCZ	200	added ('OK')	application/javascript	etag:W/%2265545477-6ad%22	https://cybersoft.edu.vn/wp-content/plugins/pixelyoursite/dist/scripts/js.cookie-2.1.3.min.js	C:/Users/aduyn/Desktop/vns/cybersoft.edu.vn/wp-content/plugins/pixelyoursite/dist/scripts/js.cookie-2.1.3.min.js	(from https://cybersoft.edu.vn/)
15:07:22	113558/113558	---MCZ	200	added ('OK')	application/javascript	etag:W/%2265545477-1bb96%22	https://cybersoft.edu.vn/wp-content/plugins/pixelyoursite/dist/scripts/public.js	C:/Users/aduyn/Desktop/vns/cybersoft.edu.vn/wp-content/plugins/pixelyoursite/dist/scripts/public.js	(from https://cybersoft.edu.vn/)
15:07:23	837/837	---MCZ	200	added ('OK')	text/xml	date:Thu,%2016%20May%202024%2008:07:22%20GMT	https://cybersoft.edu.vn/xmlrpc.php?rsd	C:/Users/aduyn/Desktop/vns/cybersoft.edu.vn/xmlrpc0db0.php	(from https://cybersoft.edu.vn/)
15:07:23	1045/1045	---MCZ	200	added ('OK')	application/xml	etag:W/%2258d214c4-415%22	https://cybersoft.edu.vn/wp-includes/wlwmanifest.xml	C:/Users/aduyn/Desktop/vns/cybersoft.edu.vn/wp-includes/wlwmanifest.xml	(from https://cybersoft.edu.vn/)
15:07:23	114074/114074	---MCZ	200	added ('OK')	application/json	date:Thu,%2016%20May%202024%2008:07:22%20GMT	https://cybersoft.edu.vn/wp-json/	C:/Users/aduyn/Desktop/vns/cybersoft.edu.vn/wp-json/index.html	(from https://cybersoft.edu.vn/)
15:07:24	2411/2411	---MCZ	200	added ('OK')	application/json	date:Thu,%2016%20May%202024%2008:07:23%20GMT	https://cybersoft.edu.vn/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fcybersoft.edu.vn%2F	C:/Users/aduyn/Desktop/vns/cybersoft.edu.vn/wp-json/oembed/1.0/embed1fbc.json	(from https://cybersoft.edu.vn/)
15:07:25	2522/2522	---MCZ	200	added ('OK')	text/xml	date:Thu,%2016%20May%202024%2008:07:24%20GMT	https://cybersoft.edu.vn/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fcybersoft.edu.vn%2F&format=xml	C:/Users/aduyn/Desktop/vns/cybersoft.edu.vn/wp-json/oembed/1.0/embedb16b	(from https://cybersoft.edu.vn/)
15:07:25	12667/12667	---MCZ	200	added ('OK')	application/javascript	etag:W/%225c454fdb-317b%22	https://cybersoft.edu.vn/wp-content/themes/kallyas/js/jquery.malihu.PageScroll2id.min.js	C:/Users/aduyn/Desktop/vns/cybersoft.edu.vn/wp-content/themes/kallyas/js/jquery.malihu.PageScroll2id.min.js	(from https://cybersoft.edu.vn/)
15:07:25	8048/8048	---MCZ	200	added ('OK')	text/css	etag:W/%225dd75303-1f70%22	https://cybersoft.edu.vn/wp-content/cybercss/course-anim-22-11.css	C:/Users/aduyn/Desktop/vns/cybersoft.edu.vn/wp-content/cybercss/course-anim-22-11.css	(from https://cybersoft.edu.vn/)
15:07:25	6664/6664	---MCZ	200	added ('OK')	text/css	etag:W/%2263f21206-1a08%22	https://cybersoft.edu.vn/wp-content/cybercss/leftmenu_v6_12.css	C:/Users/aduyn/Desktop/vns/cybersoft.edu.vn/wp-content/cybercss/leftmenu_v6_12.css	(from https://cybersoft.edu.vn/)
15:07:26	6935/6935	---MCZ	200	added ('OK')	text/css	etag:W/%226090e78a-1b17%22	https://cybersoft.edu.vn/wp-content/cybercss/cyberbutton_2020_ver1_4.css	C:/Users/aduyn/Desktop/vns/cybersoft.edu.vn/wp-content/cybercss/cyberbutton_2020_ver1_4.css	(from https://cybersoft.edu.vn/)
15:07:26	1539/1539	---MCZ	200	added ('OK')	text/css	etag:W/%225ffe0788-603%22	https://cybersoft.edu.vn/wp-content/cybercss/cyberplay5.css	C:/Users/aduyn/Desktop/vns/cybersoft.edu.vn/wp-content/cybercss/cyberplay5.css	(from https://cybersoft.edu.vn/)
15:07:26	6574/6574	---MCZ	200	added ('OK')	text/css	etag:W/%2264e09e64-19ae%22	https://cybersoft.edu.vn/wp-content/cybercss/cyberheader_ver14.css?v=1.0.6	C:/Users/aduyn/Desktop/vns/cybersoft.edu.vn/wp-content/cybercss/cyberheader_ver14c924.css	(from https://cybersoft.edu.vn/)
15:07:26	2667/2667	---MCZ	200	added ('OK')	text/css	etag:W/%226002ec4b-a6b%22	https://cybersoft.edu.vn/wp-content/cybercss/cybercriculum_ver6.css	C:/Users/aduyn/Desktop/vns/cybersoft.edu.vn/wp-content/cybercss/cybercriculum_ver6.css	(from https://cybersoft.edu.vn/)
15:07:26	2562/2562	---MCZ	200	added ('OK')	text/css	etag:W/%225ff1bcf7-a02%22	https://cybersoft.edu.vn/wp-content/cybercss/decuong_uu_viet_89_ver1.css	C:/Users/aduyn/Desktop/vns/cybersoft.edu.vn/wp-content/cybercss/decuong_uu_viet_89_ver1.css	(from https://cybersoft.edu.vn/)
15:07:27	5664/5664	---MCZ	200	added ('OK')	text/css	etag:W/%22604d23fc-1620%22	https://cybersoft.edu.vn/wp-content/cybercss/style_banner_v02.css	C:/Users/aduyn/Desktop/vns/cybersoft.edu.vn/wp-content/cybercss/style_banner_v02.css	(from https://cybersoft.edu.vn/)
15:07:27	6469/6469	---MCZ	200	added ('OK')	text/css	etag:W/%226090e679-1945%22	https://cybersoft.edu.vn/wp-content/cybercss/glass_box_chu_de_v6.css	C:/Users/aduyn/Desktop/vns/cybersoft.edu.vn/wp-content/cybercss/glass_box_chu_de_v6.css	(from https://cybersoft.edu.vn/)
15:07:27	2936/2936	---MCZ	200	added ('OK')	text/css	etag:W/%22600691ce-b78%22	https://cybersoft.edu.vn/wp-content/cybercss/style_video_ver5.css	C:/Users/aduyn/Desktop/vns/cybersoft.edu.vn/wp-content/cybercss/style_video_ver5.css	(from https://cybersoft.edu.vn/)
15:07:27	3473/3473	---MCZ	200	added ('OK')	text/css	etag:W/%22600af88f-d91%22	https://cybersoft.edu.vn/wp-content/cybercss/style_home_career_ver05.css	C:/Users/aduyn/Desktop/vns/cybersoft.edu.vn/wp-content/cybercss/style_home_career_ver05.css	(from https://cybersoft.edu.vn/)
15:07:27	5898/5898	---MCZ	200	added ('OK')	text/css	etag:W/%22607b3db2-170a%22	https://cybersoft.edu.vn/wp-content/cybercss/style_bcamp_ver19.css	C:/Users/aduyn/Desktop/vns/cybersoft.edu.vn/wp-content/cybercss/style_bcamp_ver19.css	(from https://cybersoft.edu.vn/)
15:07:28	3800/3800	---MCZ	200	added ('OK')	text/css	etag:W/%22600a6a9b-ed8%22	https://cybersoft.edu.vn/wp-content/cybercss/style_course_info_ver8.css	C:/Users/aduyn/Desktop/vns/cybersoft.edu.vn/wp-content/cybercss/style_course_info_ver8.css	(from https://cybersoft.edu.vn/)
15:07:28	15806/15806	---MCZ	200	added ('OK')	text/css	etag:W/%22634af2ed-3dbe%22	https://cybersoft.edu.vn/wp-content/cybercss/style_roadmap_ver35_1.css	C:/Users/aduyn/Desktop/vns/cybersoft.edu.vn/wp-content/cybercss/style_roadmap_ver35_1.css	(from https://cybersoft.edu.vn/)
15:07:28	1096/1096	---MCZ	200	added ('OK')	text/css	etag:W/%2263c283da-448%22	https://cybersoft.edu.vn/wp-content/cybercss/style_header_ver5.css	C:/Users/aduyn/Desktop/vns/cybersoft.edu.vn/wp-content/cybercss/style_header_ver5.css	(from https://cybersoft.edu.vn/)
15:07:28	7589/7589	---MCZ	200	added ('OK')	text/css	etag:W/%22601d12d9-1da5%22	https://cybersoft.edu.vn/wp-content/cybercss/style_course_illu_ver8.css	C:/Users/aduyn/Desktop/vns/cybersoft.edu.vn/wp-content/cybercss/style_course_illu_ver8.css	(from https://cybersoft.edu.vn/)
15:07:29	2551/2551	---MCZ	200	added ('OK')	text/css	etag:W/%22634f9c93-9f7%22	https://cybersoft.edu.vn/wp-content/cybercss/style_sidebar_ver000.css	C:/Users/aduyn/Desktop/vns/cybersoft.edu.vn/wp-content/cybercss/style_sidebar_ver000.css	(from https://cybersoft.edu.vn/)
15:07:29	730/730	---MCZ	200	added ('OK')	text/css	date:Sat,%2017%20Apr%202021%2020:14:17%20GMT	https://cybersoft.edu.vn/wp-content/cybercss/style_footer_v01.css	C:/Users/aduyn/Desktop/vns/cybersoft.edu.vn/wp-content/cybercss/style_footer_v01.css	(from https://cybersoft.edu.vn/)
